ID_producto	Descripcion
200886	HERVIDOR AGUA 1,7 LT HAPPY HOME
200887	SET
200888	CARTERITA
200889	CENICERO
200890	MASAJEADOR
200891	PLANCHITA
200892	RASCADOR
200893	TAPA
2009	EDYLAI -CAMISILLA P/ADULTO SURTIDO,
200900	TOALLA
200901	CAMISA
200902	CAMISA
200903	T_C
200904	TELA
200905	ASATEX
200906	ASATEX
200907	ASATEX
200908	ASATEX
200909	ASATEX
200910	CAMPERA
200911	SABANA
200912	CORPIÑO
200913	CORPIÑO
200914	CORPIÑO
200915	CORPIÑO
200916	CORPIÑO
200917	CORPIÑO
200918	CHAMPION
200919	BUZO
20092	OMO
200920	CONJUNTO
200921	CONJUNTO
200922	CONJUNTO
200923	CANGURO
200924	REMERA
200925	PANTALON
200926	PANTALON
200927	PANTALON
200928	PANTALON
200929	PANTALON
20093	KOTEX
200930	PANTALON
200931	PANTALON
200932	PANTALON
200933	PANTALON
200934	PANTALON
200935	PANTALON
200936	PANTALON
200937	PANTALON
200938	TOALLA
200939	TOALLA
20094	KOTEX
200940	TOALLA
200941	SET
200942	ALPARGATA
200943	ALPARGATA
200944	ALPARGATA
200945	ALPARGATA
200946	ALPARGATA
200947	ALPARGATA
200948	CHAMPION
200949	CHAMPION
200950	CHAMPION
200951	CHAMPION
200952	ALPARGATA
200953	CHAMPION
200954	CHAMPION
200955	CHAMPION
200956	CHAMPION
200957	GUILLERMINA
200958	CHAMPION
200959	JEAN
200960	JEAN
20096009	MAGGI
200961	JEAN
200962	JEAN
200963	JEAN
200964	JEAN
200965	JEAN
200966	JEAN
200967	JEAN
200968	JEAN DAMA CELESTE C/ APLIQUE Y BORD REF:7204-10L,,
200969	JEAN
200970	JEAN
200971	JEAN
200972	PANTALONETA
200973	PANTALONETA
200974	PANTALON
200975	PANTALON
200976	PANTALON
200977	PANTALON
200978	PANTALON
200979	PANTALON
200980	PANTALON
200981	PANTALON
200982	PANTALON
200983	PANTALON
200984	PANT
200985	PANT
200986	PANT
200987	VESTIDO
200988	VESTIDO/POLLERITA
200989	POLLERITA
20099	ESPUMADERA
200990	POLLERITA
200991	POLLERITA
200992	REMERA
200993	REMERA
200994	REMERA
200995	REMERA
200996	REMERA
200997	REMERA
200998	REMERA
200999	REMERA
201	CAFFARENA
2010	ALA
201000	CUCHILLO
201001	CUCHILLO
201002	CUCHILLO
201003	VASO
201004	VASO
201005	MUG
201006	MUG
201007	MUG
201008	MANIJA
201009	MANIJA
20101	JUEGO
201010	MANIJA
201011	SET
201012	SET
201013	MUG
201014	PAVA ELECTRICA ACERO REF BS1104,
